team,form_score,goals_scored_avg,goals_conceded_avg,win_pct,total_matches
Aden,0.0,0.75,6.25,0.0,4
Afghanistan,5.0,0.939,2.006,0.227,163
Albania,6.0,0.958,1.475,0.2833,406
Algeria,10.0,1.546,1.012,0.458,679
Andorra,1.0,0.328,2.358,0.0611,229
Angola,8.0,1.195,1.015,0.3676,457
Anguilla,9.0,0.644,3.5,0.1441,118
Antigua and Barbuda,2.0,1.399,1.73,0.3381,281
Argentina,15.0,1.897,1.022,0.5493,1105
Armenia,0.0,0.996,1.911,0.2357,280
Aruba,10.0,1.449,2.254,0.2537,205
Australia,6.0,2.03,1.095,0.5175,630
Austria,13.0,1.801,1.523,0.4294,864
Azerbaijan,4.0,0.817,1.683,0.205,322
Bahamas,0.0,1.011,3.258,0.191,89
Bahrain,6.0,1.232,1.273,0.3546,626
Bangladesh,5.0,0.892,1.788,0.2615,325
Barbados,3.0,1.279,1.659,0.3062,369
Belarus,8.0,1.12,1.445,0.299,301
Belgian Congo,3.0,1.75,2.5,0.25,4
Belgium,11.0,1.825,1.551,0.4452,876
Belize,6.0,1.063,1.913,0.2441,127
Benin,9.0,0.936,1.654,0.2407,295
Bermuda,0.0,1.571,1.773,0.3305,233
Bhutan,3.0,0.593,3.619,0.1062,113
Bohemia,4.0,2.143,3.429,0.1429,7
Bohemia and Moravia,6.0,3.286,3.571,0.1429,7
Bolivia,7.0,1.028,1.963,0.2276,536
Bonaire,3.0,1.137,2.48,0.2353,102
Bosnia-Herzegovina,7.0,1.387,1.376,0.3692,279
Botswana,3.0,0.802,1.291,0.2627,354
Brazil,10.0,2.157,0.896,0.6307,1067
British Guiana,5.0,1.079,1.78,0.2622,164
British Honduras,4.0,1.5,1.0,0.5,2
British India,6.0,2.714,2.857,0.2857,7
British Virgin Islands,10.0,0.92,2.891,0.1667,138
Brunei,3.0,0.788,3.212,0.1788,151
Bulgaria,9.0,1.381,1.485,0.3632,771
Burkina Faso,7.0,1.217,1.193,0.3679,405
Burma,5.0,1.916,1.453,0.4708,274
Burundi,6.0,1.13,1.351,0.3054,239
Cambodia,1.0,1.084,2.762,0.1967,239
Cameroon,9.0,1.442,1.079,0.436,656
Canada,9.0,1.286,1.259,0.39,482
Cape Verde Islands,6.0,1.078,1.118,0.3714,245
Cayman Islands,7.0,0.969,2.395,0.2093,129
Central African Republic,6.0,1.087,1.994,0.2188,160
Ceylon,0.0,1.154,4.308,0.0769,26
Chad,1.0,0.884,1.867,0.1878,181
Chagos Islands,0.0,1.0,6.0,0.0,1
Chile,12.0,1.404,1.427,0.3732,852
China,7.0,1.864,1.106,0.4859,743
Colombia,9.0,1.301,1.149,0.408,652
Comm of Indep States,4.0,1.2,1.1,0.3,10
Comoros,3.0,0.911,1.563,0.2532,158
Congo,1.0,1.422,1.405,0.3615,462
Congo-Leopoldville,6.0,1.444,0.889,0.3333,9
Cook Islands,3.0,0.893,4.929,0.2321,56
Costa Rica,2.0,1.734,1.162,0.4517,786
Croatia,12.0,1.744,1.008,0.5251,398
Cuba,8.0,1.371,1.401,0.3772,501
Curaçao,4.0,2.06,1.34,0.4776,268
Cyprus,6.0,0.9,2.175,0.1963,428
Czech Republic,11.0,1.777,1.022,0.5292,359
Czechoslovakia,11.0,1.868,1.334,0.4597,509
DR Congo,10.0,1.52,1.154,0.4171,350
Dahomey,7.0,1.667,2.176,0.3333,51
Denmark,8.0,1.836,1.347,0.4651,903
Djibouti,3.0,0.664,3.398,0.0973,113
Dominica,1.0,1.174,1.996,0.2438,242
Dominican Republic,6.0,1.588,1.61,0.3636,187
Dutch East Indies,3.0,2.167,3.667,0.3333,6
East Germany,13.0,1.691,1.222,0.4688,320
East Timor,3.0,0.892,3.204,0.1183,93
Eastern Samoa,3.0,0.61,6.525,0.0847,59
Ecuador,9.0,1.204,1.509,0.3072,599
Egypt,8.0,1.721,1.019,0.512,836
El Salvador,4.0,1.259,1.49,0.3309,680
England,10.0,2.326,0.967,0.5854,1153
Equatorial Guinea,4.0,0.938,1.446,0.2974,195
Eritrea,9.0,0.709,1.593,0.1977,86
Estonia,5.0,0.985,1.781,0.2449,539
Eswatini,1.0,0.769,1.423,0.1538,78
Ethiopia,9.0,1.378,1.476,0.3543,460
FS Micronesia,3.0,1.167,9.167,0.1667,6
Falkland Islands,0.0,0.0,8.0,0.0,1
Faroe Islands,12.0,0.754,2.278,0.1779,281
Fiji,1.0,2.227,1.601,0.4388,278
Finland,7.0,1.178,2.059,0.2633,824
France,13.0,1.807,1.368,0.5037,935
French Congo,3.0,5.0,1.0,1.0,1
French Dahomey,0.0,0.0,5.0,0.0,1
French Guiana,2.0,1.484,1.707,0.3032,188
French Somaliland,0.0,0.857,5.143,0.0,7
French Sudan,0.0,0.5,3.0,0.0,2
French Togoland,11.0,2.8,1.4,0.6,5
Gabon,1.0,1.186,1.217,0.3451,452
Gambia,4.0,1.076,1.424,0.2778,288
Georgia,4.0,1.289,1.387,0.3333,315
Germany,15.0,2.346,1.269,0.5689,668
Ghana,0.0,1.593,1.039,0.4766,747
Gibraltar,0.0,0.534,2.957,0.1379,116
Gold Coast,8.0,1.667,1.333,0.5833,12
Greece,5.0,1.272,1.371,0.3832,655
Greenland,0.0,1.0,2.667,0.1111,18
Grenada,3.0,1.592,1.793,0.3388,304
Guadeloupe,6.0,1.741,1.403,0.4414,290
Guam,9.0,1.234,4.531,0.2266,128
Guatemala,6.0,1.404,1.354,0.3606,624
Guinea,6.0,1.413,1.231,0.3746,598
Guinea-Bissau,4.0,0.966,1.463,0.266,203
Guyana,15.0,1.414,1.695,0.3439,285
Haiti,7.0,1.697,1.355,0.4373,558
Honduras,6.0,1.445,1.283,0.3943,667
Hong Kong,5.0,1.583,1.682,0.3528,513
Hungary,8.0,2.014,1.476,0.472,1036
Iceland,2.0,1.207,1.677,0.3042,526
India,6.0,1.369,1.614,0.3622,588
Indonesia,4.0,1.669,1.613,0.3797,777
Iran,8.0,1.9,0.783,0.5693,678
Iraq,9.0,1.582,0.927,0.4735,754
Ireland,11.0,1.319,1.563,0.3532,739
Israel,5.0,1.536,1.462,0.3755,522
Italy,10.0,1.753,0.991,0.5322,902
Ivory Coast,12.0,1.625,0.988,0.5089,672
Jamaica,9.0,1.329,1.308,0.3886,718
Japan,15.0,1.812,1.174,0.491,829
Jordan,5.0,1.245,1.204,0.3542,559
Kazakhstan,8.0,1.041,1.668,0.2575,268
Kenya,4.0,1.375,1.364,0.3767,730
Khmer Republic,6.0,1.304,1.942,0.3043,69
Kiribati,0.0,0.636,11.455,0.0,11
Korea,3.0,5.0,0.0,1.0,1
Kosovo,7.0,1.417,1.361,0.3889,108
Kurdistan,4.0,2.0,1.0,0.5,2
Kuwait,5.0,1.548,1.147,0.415,735
Kyrgyz Republic,1.0,1.095,1.774,0.2895,190
Laos,6.0,1.004,3.145,0.1838,234
Latvia,7.0,1.164,1.644,0.2795,458
Lebanon,10.0,1.199,1.492,0.2879,396
Lesotho,8.0,0.787,1.609,0.2012,338
Liberia,5.0,0.927,1.52,0.2598,331
Libya,7.0,1.352,1.314,0.3632,446
Liechtenstein,3.0,0.405,2.809,0.0739,257
Lithuania,4.0,0.978,1.82,0.2524,416
Luxembourg,6.0,0.652,2.592,0.1132,468
Macao,0.0,0.848,3.018,0.1455,165
Macedonia,2.0,1.193,1.348,0.3115,305
Madagascar,10.0,1.389,1.489,0.3807,352
Malawi,4.0,1.161,1.248,0.3318,660
Malaya,4.0,2.342,1.934,0.4342,76
Malaysia,12.0,1.557,1.425,0.3815,844
Maldives,3.0,1.214,2.218,0.2815,238
Mali,4.0,1.321,1.116,0.4053,602
Mali Federation,9.0,2.5,2.0,0.75,4
Malta,3.0,0.642,2.242,0.1407,455
Marshall Islands,0.0,1.0,3.5,0.0,2
Martinique,2.0,1.833,1.308,0.4528,360
Mauritania,1.0,0.72,1.764,0.1824,296
Mauritius,3.0,1.24,1.59,0.2746,346
Mayotte,5.0,1.125,1.475,0.3,40
Mexico,11.0,1.773,1.026,0.5175,1026
Moldova,1.0,0.809,1.739,0.1973,299
Monaco,1.0,1.0,4.333,0.0,3
Mongolia,3.0,1.0,2.796,0.2143,98
Montenegro,9.0,1.18,1.341,0.3413,167
Montserrat,3.0,1.027,3.173,0.24,75
Morocco,8.0,1.512,0.842,0.4972,726
Mozambique,3.0,1.012,1.304,0.306,415
Myanmar,7.0,1.293,2.023,0.3194,263
Namibia,1.0,0.984,1.386,0.2582,306
Nepal,1.0,0.839,2.265,0.2282,298
Netherlands,11.0,2.093,1.268,0.5151,897
Netherlands Antilles,2.0,1.398,1.796,0.3102,216
New Caledonia,7.0,2.646,1.38,0.5133,263
New Hebrides,3.0,1.703,2.919,0.2162,37
New Zealand,4.0,1.747,1.469,0.4123,439
Nicaragua,4.0,1.024,2.448,0.2143,252
Niger,5.0,0.986,1.739,0.2218,284
Nigeria,11.0,1.502,1.014,0.4613,711
Niue,0.0,0.0,16.5,0.0,2
North Korea,2.0,1.558,1.064,0.4228,421
North Vietnam,7.0,1.96,2.28,0.28,25
North Yemen,0.0,0.514,4.324,0.0541,37
Northern Cyprus,10.0,1.154,1.538,0.4615,13
Northern Ireland,4.0,1.044,1.511,0.2799,611
Northern Mariana Islands,4.0,1.194,4.25,0.1389,36
Northern Rhodesia,9.0,2.1,1.25,0.55,20
Norway,10.0,1.548,1.629,0.3763,885
Nyasaland,0.0,0.6,6.6,0.0,5
Oman,5.0,1.284,1.32,0.3776,588
Pakistan,2.0,0.921,2.227,0.2194,278
Palau,0.0,1.5,13.5,0.0,2
Palestine,6.0,1.268,1.56,0.2817,284
Panama,5.0,1.25,1.534,0.3333,597
Papua New Guinea,13.0,2.147,2.123,0.3313,163
Paraguay,6.0,1.271,1.413,0.3511,789
Peru,5.0,1.214,1.395,0.3235,711
Philippines,11.0,1.07,2.562,0.2487,386
Poland,7.0,1.697,1.347,0.4346,918
Portugal,8.0,1.761,1.122,0.4986,694
Portuguese Guinea,9.0,2.0,2.2,0.6,5
Puerto Rico,9.0,1.137,2.487,0.2284,197
Qatar,1.0,1.427,1.173,0.4135,682
Reunion,6.0,1.706,1.838,0.4044,136
Rhodesia,5.0,1.643,1.571,0.2857,14
Romania,6.0,1.627,1.265,0.4439,793
Ruanda-Urundi,0.0,1.0,9.0,0.0,1
Russia,5.0,1.744,1.079,0.4831,356
Rwanda,9.0,1.024,1.254,0.3101,287
Saar,1.0,1.273,3.091,0.0909,11
Saint Barthelemy,7.0,2.5,2.9,0.4,10
Saint Kitts,15.0,2.091,1.091,0.7273,11
Saint Kitts and Nevis,7.0,1.696,1.596,0.4,240
Saint Lucia,3.0,1.382,1.896,0.3333,249
Saint Martin,9.0,1.581,2.221,0.3837,86
Saint Pierre and Miquelon,0.0,0.333,11.333,0.0,6
Samoa,6.0,1.607,3.018,0.3571,56
San Marino,1.0,0.186,3.942,0.0133,226
Sao Tome and Principe,3.0,0.5,2.667,0.1667,6
Saudi Arabia,1.0,1.538,1.071,0.4754,812
Scotland,6.0,1.716,1.233,0.4746,866
Senegal,12.0,1.385,0.939,0.4564,688
Serbia,6.0,1.5,1.074,0.4491,216
Serbia and Montenegro,4.0,1.194,1.194,0.3056,36
Seychelles,1.0,0.743,2.241,0.1283,187
Sierra Leone,8.0,0.948,1.396,0.2853,326
Singapore,12.0,1.337,1.801,0.3123,759
Sint Eustatius,5.0,2.333,1.667,0.3333,3
Sint Maarten,11.0,1.427,2.587,0.3067,75
Slovakia,9.0,1.414,1.258,0.4086,372
Slovenia,5.0,1.241,1.168,0.3639,316
Solomon Islands,1.0,2.153,1.919,0.4234,222
Somalia,9.0,0.517,2.463,0.1088,147
South Africa,5.0,1.366,1.019,0.4412,519
South Korea,9.0,1.818,0.912,0.5467,1050
South Sudan,4.0,0.679,1.79,0.1605,81
South Vietnam,0.0,1.926,1.681,0.3981,216
South Yemen,4.0,0.975,2.975,0.225,40
Southern Rhodesia,6.0,1.462,2.0,0.3846,13
Soviet Union,9.0,1.841,0.88,0.5575,409
Spain,11.0,2.04,0.894,0.591,780
Sri Lanka,7.0,0.929,2.278,0.2063,252
St Vincent & Grenadines,9.0,1.574,1.793,0.3641,357
Sudan,3.0,1.146,1.317,0.3395,542
Suriname,5.0,1.804,1.362,0.434,530
Swaziland,2.0,0.846,1.737,0.2105,228
Sweden,7.0,1.99,1.321,0.4915,1121
Switzerland,8.0,1.495,1.657,0.3564,895
Syria,8.0,1.443,1.273,0.3733,576
São Tome and Principe,3.0,0.75,3.0,0.25,4
São Tomé and Príncipe,3.0,0.727,2.636,0.1299,77
Tahiti,9.0,2.74,1.472,0.5319,235
Taiwan,0.0,1.371,2.335,0.2819,337
Tajikistan,11.0,1.42,1.453,0.3726,212
Tanganyika,4.0,1.741,2.593,0.3519,54
Tanzania,5.0,1.07,1.351,0.2825,570
Thailand,15.0,1.6,1.495,0.3925,930
Tibet,1.0,0.833,3.167,0.0,6
Togo,8.0,1.06,1.374,0.3077,481
Tonga,6.0,1.171,3.786,0.2286,70
Trinidad and Tobago,4.0,1.667,1.278,0.4319,866
Tunisia,6.0,1.427,1.071,0.4271,761
Turkey,13.0,1.42,1.438,0.3985,665
Turkmenistan,6.0,1.522,1.511,0.3696,184
Turks and Caicos Islands,7.0,0.964,3.464,0.2321,56
Tuvalu,6.0,1.382,5.353,0.2647,34
US Virgin Islands,7.0,0.679,3.704,0.1235,81
Ubangi-Shari,3.0,5.0,1.0,1.0,1
Uganda,4.0,1.504,1.196,0.4188,714
Ukraine,9.0,1.398,1.051,0.4521,334
United Arab Emirates,6.0,1.4,1.233,0.3957,657
United Arab Republic,13.0,2.296,1.556,0.4815,27
United States,9.0,1.516,1.304,0.4453,822
Upper Volta,6.0,1.458,2.208,0.2639,72
Uruguay,6.0,1.58,1.218,0.4397,1012
Uzbekistan,9.0,1.741,1.094,0.4904,363
Vanuatu,8.0,1.808,1.956,0.3352,182
Venezuela,7.0,1.082,1.822,0.2657,478
Vietnam,15.0,1.629,1.341,0.4338,302
Wales,8.0,1.251,1.6,0.322,733
Wallis and Futuna,3.0,0.958,4.542,0.2083,24
West Germany,11.0,2.074,1.016,0.5942,377
Western Samoa,7.0,0.905,5.238,0.1429,21
Yemen,11.0,1.037,1.763,0.2245,245
Yugoslavia,7.0,2.046,1.483,0.4828,611
Zaire,6.0,1.531,1.194,0.4,175
Zambia,2.0,1.553,1.059,0.4448,825
Zanzibar,3.0,0.828,2.127,0.1814,204
Zimbabwe,7.0,1.313,1.121,0.3859,495
